id,HH,Emo,Ext,Agr,Con,Ope
62c94a74ad60a0c73e4eafbd35a88b96,34,38,30,30,31,36
633d1d6627bc037da30127c67abc4395,34,33,32,34,35,33
65163726760036883b09555b7ef30fcc,30,41,29,33,30,29
657505bf244afe28196de9da26a54cfd,43,30,29,38,39,25
65bdc220fe2bcd95c5bdc0a12f2c1d3b,41,35,33,34,36,36
6659fadf648ae5fb7c0f2a5e2ede7e9f,30,32,37,32,34,36
66ba7c6940090e38e8d5000fa8501ae6,32,38,26,24,40,27
671da4d662bec142f5a3d9ddb827b767,27,32,27,19,29,26
6724335b398e0c8412795d0888137171,33,32,29,33,30,31
67c1f3a7708787d348b3706c4f1b7ed1,20,30,41,34,12,16
684f03f4be36597f757496132d208f10,43,35,28,40,33,39
68bbc0a7dc1982d8699901f297078e85,33,29,24,35,35,19
68f62fa477a7f8ecf1fcb62952760623,35,36,28,33,30,29
6989906631cfcbd59f5b57f786d53e6a,33,22,41,36,36,35
bcd4343b8d0247a5ac5171555fb40e5d,29,24,29,32,34,34
bdadae281cab2ee4dc73b97597dfa0c0,41,31,31,35,33,30
bc698fa82a01fb99ff5feebcc94ac9b4,37,35,29,29,33,32
b12f039ccc27f0bc65a9fbb60096bff0,29,37,34,32,34,33
b289be7d0c68101d69bd8f62c66d2df6,39,32,25,31,24,33
b2d5e5f0a49a6d7182149b3f7efa35d3,33,38,39,36,32,36
b31042fb2bc3e26d00d739e771f449d7,32,41,26,33,32,35
b3180f8c82c4bf704cd647fa2478e0c0,42,39,23,26,25,27
b3332d14f483563909d40d3f892c5203,28,41,34,32,34,36
b399fb425c9beac01caaaaa750a37c39,45,26,25,24,35,35
b47cb45b79fbd860974502957627b6b8,34,34,34,37,38,35
b615818eb3983e679e1efb4281a6b8d5,29,50,31,40,35,40
b6c3f9c0377ce98e8f8a78797c99caac,44,22,33,38,40,26
b70b0273c764e1cd216a37448083ce99,36,32,31,33,30,31
b8a99b264fbd30c7e36299cf7d80ac38,32,40,29,30,37,39
b8fba65f19c077af28731275f023fb76,47,29,41,48,44,47
b91ecb3f3f119929ba068e27c9404fc4,30,32,30,29,33,31
ba1d3cfcaed7c09995e6815111884b26,25,36,32,41,31,36
ba2f67e53c7e63dc3bf2847d9b39b97e,31,40,27,34,30,30
baa8a332e2d42060bf4db51475b93715,34,32,38,38,31,33
bc6684b30a72921bffef29fd6a1d5d1b,34,43,27,23,28,45
bcba3ef10b424887b240f89c268d182b,33,36,33,36,34,40
bdbf25a5ab571e58bd547a1898d53c69,36,35,38,38,43,43
